region_id,country_id
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
99878,1
99879,1
900483,1
900484,1
900485,1
900486,1
900487,1
900488,1
900489,1
900490,1
900491,1
900492,1
900493,1
900494,1
900495,1
900496,1
900497,1
900498,1
900499,1
900500,1
900501,1
900502,1
900503,1
900504,1
900505,1
900506,1
900507,1
900508,1
900509,1
900510,1
900511,1
900512,1
900513,1
900514,1
900515,1
900516,1
304,2
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,5
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,8
399,8
400,8
401,8
402,8
403,8
404,8
405,8
406,8
407,8
408,8
409,8
410,8
411,8
412,8
413,8
414,8
415,8
416,9
417,9
418,9
419,9
420,9
421,9
422,9
424,9
425,9
40206,11
40208,11
40209,11
40210,11
40211,11
40212,11
40213,11
429,12
430,12
431,12
432,12
433,12
901063,72
901064,72
901065,72
901066,72
901067,72
901068,72
901069,72
901070,72
901071,72
901072,72
901073,72
901074,72
901075,72
901076,72
901077,72
901078,72
901079,72
901080,72
901081,72
901082,72
901083,72
901084,72
901085,72
901086,72
901087,72
901088,72
901089,72
901090,72
1135,73
1136,73
1137,73
1138,73
1139,73
1140,73
1141,73
1142,73
1143,73
1144,73
1145,73
1146,73
1147,73
1148,73
1149,73
1150,73
1151,73
1152,73
1153,73
1154,73
1155,73
1156,73
1157,73
22007,73
22008,73
2746,74
2747,74
2748,74
2750,74
2751,74
2754,74
2765,74
2766,74
2768,74
37021,74
1184,75
1185,75
1186,75
1187,75
1188,75
1189,75
1190,75
1191,75
1192,75
1193,75
1194,75
1195,75
1196,75
1197,75
900381,75
900382,75
900383,75
900384,75
900385,75
900386,75
900387,75
900388,75
900389,75
900390,75
900391,75
900392,75
900393,75
900394,75
900395,75
1198,76
1199,76
1200,76
1201,76
1202,76
1203,76
1204,76
1205,77
1206,77
1207,77
1208,77
1209,77
1210,77
1211,77
1212,78
1213,78
1214,78
1215,78
1216,78
1217,78
1218,78
1219,78
1220,78
1221,78
1222,78
1223,78
1224,78
1225,78
1226,78
149727,78
1227,79
1228,79
1229,79
1230,79
1231,79
1232,79
1233,79
1236,79
1237,79
47678,79
47679,79
900532,79
900533,79
900534,79
900535,79
900536,79
900537,79
900538,79
900539,79
900540,79
900541,79
900542,79
1239,81
1240,82
40187,83
40188,83
40189,83
40190,83
1242,84
1243,84
1244,84
1245,84
1246,84
1247,84
1248,85
1249,85
1250,85
1251,85
1252,85
1253,85
1254,85
1255,85
1256,85
1257,85
1258,85
1259,85
1260,85
1262,85
1263,85
1264,85
1265,85
1266,85
1267,85
1268,85
1269,85
1270,85
1271,86
1272,86
1273,87
1275,89
1276,89
1277,89
1278,89
1279,89
1280,89
1281,89
1282,89
1283,89
1285,90
1287,90
1288,90
1289,90
1290,90
112869,90
1296,92
1297,92
1298,92
1299,92
1300,92
1301,92
1302,92
1303,92
1304,92
1305,92
1306,92
1307,92
1308,93
1309,93
1310,93
1311,93
1312,93
1313,93
1314,93
1315,93
1316,93
1317,93
1318,93
1319,93
1320,93
1321,93
1322,93
1323,93
1324,94
1325,94
1326,94
1327,94
1328,94
1329,94
1330,94
1331,94
1332,94
1333,94
900854,94
900855,94
900856,94
900857,94
900858,94
900859,94
900860,94
900861,94
900862,94
900863,94
1334,95
1336,97
1337,97
1338,97
1339,97
1340,97
1341,97
1342,97
1343,97
1345,97
1346,97
1347,97
1348,97
40766,97
1349,98
1350,98
1351,98
1352,99
1353,99
1354,99
1355,99
1356,99
1357,99
1358,100
1359,101
900004,102
64821,103
64822,103
64823,103
64824,103
64825,103
64826,103
64827,103
64828,103
64829,103
64830,103
64831,103
64832,103
64833,103
64834,103
64835,103
64836,103
64837,103
64838,103
64839,103
64840,103
64841,103
64842,103
40222,104
40223,104
40224,104
40225,104
40226,104
40227,104
40228,104
40229,104
40230,104
40231,104
40232,104
40233,104
40234,104
1385,105
1386,105
1387,105
1388,105
1389,105
1390,105
1391,105
1392,105
1393,105
40700,106
40701,106
40702,106
40703,106
40704,106
40705,106
40706,106
40707,106
900027,106
900028,106
1398,107
1399,107
1400,107
1401,107
1402,107
1403,107
1404,107
1405,107
1406,107
1407,107
1409,108
1410,108
1411,108
1412,108
1413,108
1414,108
1415,108
1416,108
1417,108
72912,108
901001,108
901002,108
901003,108
901004,108
901005,108
901006,108
901007,108
901008,108
901009,108
901010,108
1419,110
1420,111
1421,111
1422,111
1423,111
1424,111
1425,111
1426,111
1427,111
1428,111
1429,111
1430,111
1431,111
1432,111
1433,111
1434,111
1435,111
1436,111
1437,111
1438,111
901014,111
901015,111
901016,111
901017,111
901018,111
901019,111
901020,111
901021,111
901022,111
901023,111
901024,111
901025,111
901026,111
901027,111
901028,111
901029,111
901030,111
901031,111
901032,111
901033,111
1440,113
1441,113
1442,113
1443,113
1444,113
1445,113
1446,113
1447,113
1448,113
1449,113
1450,113
1451,113
1452,113
1453,113
1454,113
1455,113
1456,113
1457,113
1458,113
1459,113
1460,114
1461,114
1462,114
1463,114
1464,114
1465,114
1466,114
1467,114
1468,114
1469,114
1471,114
1472,114
1473,114
1474,114
1475,114
1476,114
1477,114
1478,114
1479,114
1480,114
1481,114
1482,114
1483,114
1484,115
1485,115
1487,115
1488,115
1489,115
1490,115
1491,115
1492,115
1493,115
1494,115
1495,115
1496,115
1497,115
1498,115
1500,115
1501,115
1502,115
1503,115
1504,115
1505,115
1506,115
1507,115
1508,115
1509,115
1510,115
1511,115
70074,115
70075,115
70076,115
70077,115
70078,115
70080,115
70082,115
900482,115
900618,115
900619,115
1512,116
1513,116
1514,116
1515,116
1516,116
1518,116
1519,116
1520,116
1521,116
1522,116
1523,116
1524,116
1525,116
1526,116
1527,116
1528,116
1529,116
1530,116
1531,116
1532,116
1533,116
1534,116
1535,116
1536,116
1537,116
73609,116
73610,116
73611,116
73612,116
73614,116
73616,116
73617,116
73619,116
1539,117
1540,117
1541,117
1542,117
1543,117
1544,117
1545,117
1546,117
1547,117
1548,117
1549,117
1550,117
1551,117
1552,117
1553,117
1554,117
1555,117
1556,117
1557,117
1558,117
1559,117
1560,117
1561,117
1562,117
1563,117
33110,117
33111,117
33112,117
33113,117
900029,117
900030,117
900031,117
900032,117
900033,117
900034,117
900035,117
900036,117
900037,117
900038,117
900039,117
900040,117
900041,117
900042,117
900043,117
900044,117
900045,117
900046,117
900047,117
900048,117
900049,117
900050,117
900051,117
900052,117
900053,117
900054,117
900055,117
900056,117
900057,117
900058,117
900059,117
900060,117
900061,117
1564,118
1565,118
1566,118
1567,118
1568,118
1569,118
1570,118
1571,118
1572,118
1573,118
1574,118
1575,118
1576,118
1577,118
1578,118
1579,118
1580,118
1581,118
1582,119
1583,119
1584,119
1585,119
1586,119
1587,119
1588,119
1589,119
1590,119
1591,119
1592,119
1593,119
1594,119
1595,119
1596,119
1597,119
1598,119
1599,119
1601,119
1602,119
1603,119
1604,119
1605,119
1606,119
1607,119
1608,119
61305,120
61306,120
61307,120
61308,120
61309,120
61310,120
61311,120
61312,120
61313,120
61314,120
61315,120
61316,120
61317,120
61318,120
61319,120
61320,120
61321,120
61322,120
61323,120
61324,120
61325,120
61326,120
61327,120
61328,120
1610,121
1611,121
1612,121
1613,121
1614,121
1615,121
1616,122
1617,122
1618,122
1619,122
1620,122
1621,122
1622,122
1623,122
1624,122
1625,122
1626,122
1627,122
1628,122
1629,122
1630,122
1631,122
1632,122
